,yfips,year,fips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
8789,197006001,1970,6001,CA,Alameda County,1074050,696319,350973,345346,,101308,,,34411.0,560600,urban,West,Pacific,294.0,41860.0,737.307,0.0,,,,1800.0,76.0,1721.0,,,,,,1013.0,57.0,953.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,,,,,,,,,,,,
8790,197106001,1971,6001,CA,Alameda County,1084476,708356,356502,351854,,105488,,,37438.0,565430,urban,West,Pacific,294.0,41860.0,737.307,0.0,,,,1786.0,91.5,1691.875,,,,,,984.125,61.125,914.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,,,,,,,,,,,,
8791,197206001,1972,6001,CA,Alameda County,1099588,725516,364574,360942,,110692,,,40970.0,573854,urban,West,Pacific,294.0,41860.0,737.307,0.0,,,,1772.0,107.0,1662.75,,,,,,955.25,65.25,875.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,,,,,,,,,,,,
8792,197306001,1973,6001,CA,Alameda County,1089329,724581,363970,360611,,113141,,,43627.0,567813,urban,West,Pacific,294.0,41860.0,737.307,0.0,,,,1758.0,122.5,1633.625,,,,,,926.375,69.375,836.75,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,,,,,,,,,,,,
8793,197406001,1974,6001,CA,Alameda County,1092235,732867,368541,364326,,116708,,,46847.0,569312,urban,West,Pacific,294.0,41860.0,737.307,0.0,,,,1744.0,138.0,1604.5,,,,,,897.5,73.5,798.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,,,,,,,,,,,,
8794,197506001,1975,6001,CA,Alameda County,1090869,737518,371324,366194,,119992,,,50121.0,567405,urban,West,Pacific,294.0,41860.0,737.307,0.0,,,,1730.0,153.5,1575.375,,,,,,868.625,77.625,759.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,,,,,,,,,,,,
8795,197606001,1976,6001,CA,Alameda County,1098145,749276,377652,371624,,124197,,,53926.0,571153,urban,West,Pacific,294.0,41860.0,737.307,0.0,,,,1716.0,169.0,1546.25,,,,,,839.75,81.75,720.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,,,,,,,,,,,,
8796,197706001,1977,6001,CA,Alameda County,1099852,755234,381730,373504,,127531,,,57539.0,570164,urban,West,Pacific,294.0,41860.0,737.307,0.0,,,,1702.0,184.5,1517.125,,,,,,810.875,85.875,681.75,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,1114549.0,99599.0,9410.0,90189.0,147.0,697.0,4591.0,3975.0,28772.0,53949.0,7468.0,0.0
8797,197806001,1978,6001,CA,Alameda County,1103712,761474,386036,375438,,130774,,,61242.0,569458,urban,West,Pacific,294.0,41860.0,737.307,71279.29,,,,1688.0,200.0,1488.0,,,,,,782.0,90.0,643.0,21.0,0.0,69.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,1101752.0,94772.0,9178.0,85594.0,147.0,646.0,4433.0,3952.0,27976.0,50686.0,6932.0,0.0
8798,197906001,1979,6001,CA,Alameda County,1099273,761949,385355,376594,,132927,,,64614.0,564408,urban,West,Pacific,294.0,41860.0,737.307,74072.03,,,,1967.8,309.0,1658.8,,,,,,1019.2,96.42857,715.2857,27.2,0.0,70.2,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,,,,,,,,,,,,
8799,198006001,1980,6001,CA,Alameda County,1108791,771268,390725,380543,,138368,,,70694.0,562206,urban,West,Pacific,294.0,41860.0,737.307,76864.77,,,,2247.6,418.0,1829.6,,,,,,1256.4,102.8571,787.5714,33.4,0.0,71.4,0.0,40.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,1101070.0,108160.0,12414.0,95746.0,171.0,798.0,6436.0,5009.0,28991.0,57653.0,7521.0,1581.0
8800,198106001,1981,6001,CA,Alameda County,1125949,784641,396899,387742,,140299,,,78019.0,566323,urban,West,Pacific,294.0,41860.0,737.307,79657.52,,,,2527.4,527.0,2000.4,,,,,,1493.6,109.2857,859.8571,39.6,0.0,72.6,0.0,58.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,1130375.0,110660.0,11682.0,98978.0,188.0,756.0,5932.0,4806.0,30728.0,60027.0,7119.0,1104.0
8801,198206001,1982,6001,CA,Alameda County,1140263,794325,400968,393357,,141611,,,84976.0,567738,urban,West,Pacific,294.0,41860.0,737.307,82450.26,,,,2807.2,636.0,2171.2,,,,,,1730.8,115.7143,932.1429,45.8,0.0,73.8,0.0,76.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,262.0,1572.0,1209.0,1156811.0,104317.0,10874.0,93443.0,137.0,714.0,5011.0,5012.0,26621.0,59633.0,6204.0,985.0
8802,198306001,1983,6001,CA,Alameda County,1160695,807653,407059,400594,,143574,,,91769.0,572310,urban,West,Pacific,294.0,41860.0,737.307,85243.0,,,,3087.0,745.0,2342.0,,,,,,1968.0,122.1429,1004.429,52.0,0.0,75.0,0.0,94.0,88.0,,,,1897.0,79.0,1818.0,5.0,1246.0,217.0,,48.0,381.0,1373.0,91.0,1282.0,,890.0,176.0,,41.0,266.0,3.0,262.0,1572.0,1209.0,1177858.0,97182.0,11353.0,85829.0,136.0,708.0,5109.0,5400.0,24608.0,54407.0,5869.0,945.0
8803,198406001,1984,6001,CA,Alameda County,1179130,820633,412684,407949,,145377,,,99116.0,576140,urban,West,Pacific,294.0,41860.0,737.307,94813.5,,,,2976.0,524.5,2451.5,,,,,,1626.0,128.5714,1076.714,98.5,0.0,56.0,0.0,107.5,94.0,,,,2021.0,84.0,1937.0,4.0,1318.0,204.0,4.0,56.0,435.0,1558.0,104.0,1454.0,0.0,995.0,204.0,,39.0,320.0,3.0,262.0,1572.0,1209.0,1184242.0,97940.0,10891.0,87049.0,160.0,679.0,4897.0,5155.0,25247.0,54528.0,6231.0,1043.0
8804,198506001,1985,6001,CA,Alameda County,1197407,833690,418431,415259,,147084,,,106650.0,579956,urban,West,Pacific,294.0,41860.0,737.307,104384.0,,,,2865.0,304.0,2561.0,,,,,,1284.0,135.0,1149.0,145.0,0.0,37.0,0.0,121.0,100.0,,,,2285.0,116.0,2169.0,5.0,1528.0,207.0,,59.0,486.0,1902.0,148.0,1754.0,0.0,1261.0,232.0,4.0,39.0,366.0,3.0,262.0,1572.0,1209.0,1207403.0,101946.0,11628.0,90318.0,143.0,791.0,5427.0,5267.0,24961.0,57152.0,7142.0,1063.0
